GEOID,suicide_count,pop_total,pct_male,pct_age_15_24,pct_age_25_44,pct_age_45_64,pct_age_65p,median_age,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_two_or_more,median_hh_income,per_capita_income,poverty_rate_all,poverty_rate_child_u18,poverty_rate_elderly_65p,gini_index,hh_public_assistance_share,lfp_rate_16p,unemployment_rate,not_in_labor_force_share_16p,edu_lt_hs_25p,edu_hs_grad_25p,edu_some_college_25p,edu_ba_plus_25p,edu_grad_prof_25p,hh_total,hh_single_person_share,hh_married_couple_share,hh_female_householder_no_spouse_share,avg_hh_size,marital_never_married_share_15p,marital_divorced_share_15p,marital_separated_share_15p,marital_married_share_15p,housing_occupied_share,housing_vacancy_rate,homeownership_rate,renter_occupied_share,overcrowding_rate_gt1pproom,rent_burdened_gt30,rent_burdened_gt50,residential_stability_same_house_1yr,foreign_born_share,uninsured_rate,veteran_share_18p,group_quarters_share
44001030100,1,4970,0.4774647887323943,0.1124748490945674,0.1559356136820925,0.2975855130784708,0.1676056338028169,42.5,0.1020120724346076,0.8054325955734406,0.000603622,0,0.046076459,0,123646,60780,0.053524004,0.2786259541984733,0.039615846,0.4719,0.004025302,0.6231075697211156,0.019607843,0.3768924302788844,0.027876631,0.09460261,0.1245551601423487,0.6770462633451957,0.3149466192170818,1739,0.1966647498562392,0.5894192064404831,0.1673375503162737,2.82,0.1384457025218733,0.016469377,0.05249614,0.4812146165723108,0.9560197910940076,0.043980209,0.8366877515813687,0.1633122484186314,0.016676251,0.7253521126760564,0.1478873239436619,0,0.1066398390342052,0.003873598,0.034284147,
44001030200,4,3417,0.4644424934152765,0.058823529,0.2177348551360843,0.3154814164471758,0.1240854550775534,42.4,0.071407668,0.839040094,0.00936494,0,0.038045069,0.000877963,128761,58180,0.033655253,0.2782608695652174,0.099056604,0.3723,0.048231511,0.7302483069977427,0.049459042,0.2697516930022573,0.030144168,0.074705111,0.1183923110528615,0.7011795543905636,0.4084753167321974,1244,0.1631832797427652,0.6165594855305466,0.1463022508038585,2.7,0.1594254937163375,0,0.040574506,0.4764811490125673,0.9896579156722356,0.010342084,0.8078778135048231,0.1921221864951768,0,0.5700934579439252,0.3691588785046729,0.002363368,0.069944396,0.019022534,0.048630977,
44001030300,1,4536,0.4953703703703703,0.08531746,0.1794532627865961,0.3141534391534391,0.1706349206349206,42.9,0.037037037,0.8672839506172839,0.010141093,0,0.041446208,0.007054674,172609,64410,0.059964727,0.040441176,0.2868217054263566,0.3623,0.014962594,0.6821210438645197,0.006105006,0.3178789561354803,0.009939083,0.1327348509137544,0.1211926899647322,0.6925296569413274,0.3946777813401731,1604,0.192643392,0.7263092269326683,0.059226933,2.82,0.1451086956521739,0.008423913,0.023641304,0.5029891304347827,0.9098128190584232,0.090187181,0.9538653366583542,0.046134663,0,0,0,0,0.081349206,0.013888889,0.052941176,
44001030500,3,3343,0.4735267723601555,0.1423870774753215,0.2288363745139096,0.2889620101705055,0.2135806162129823,45.1,0.037391564,0.8800478612025127,0.017349686,0,0.011367036,0,74444,50275,0.1461117861482381,0.1663201663201663,0.2801120448179272,0.4609,0.004,0.6457905544147844,0.063063063,0.3542094455852156,0.1327498176513493,0.286652079,0.1794310722100656,0.3424507658643326,0.1090444930707512,1750,0.5582857142857143,0.2771428571428571,0.1285714285714285,1.9,0.1912751677852349,0.004026846,0.09966443,0.4597315436241611,0.8997429305912596,0.1002570694087403,0.3457142857142857,0.6542857142857142,0,0.4972826086956521,0.2744565217391304,0.006622517,0.138797487,0.027261833,0.047928792,
44001030601,2,3623,0.5313276290367099,0.166712669,0.175545128,0.3058239028429478,0.1998343913883521,47,0.043334253,0.8906983163124482,0.011316588,0,0.012144632,0,119120,54478,0.019569472,0,0.096685083,0.3774,0.006603081,0.7373286579534587,0.029399049,0.2626713420465413,0.080485953,0.214123007,0.2072892938496583,0.4206529992406985,0.1290812452543659,1363,0.3382245047688921,0.5862068965517241,0.062362436,2.62,0.194751818,0.040784066,0.036674044,0.5295605437875435,0.8670483460559797,0.1329516539440203,0.8371239911958914,0.1628760088041085,0,0.193069307,0.1237623762376237,0.002208724,0.076179961,0.028235952,0.017578125,
44001030602,2,4172,0.4896931927133269,0.085810163,0.2082933844678811,0.2722914669223394,0.3096836049856184,54.5,0.030201342,0.9225790987535956,0.013662512,0,0,0.007430489,78542,47879,0.1118485742379547,0.2,0.1726006191950464,0.4486,0.030827474,0.6191751472951259,0.047722343,0.3808248527048741,0.079790332,0.3433313919627256,0.1956901572510192,0.3281887012230635,0.1616191030867792,1849,0.447809627,0.4326663061114115,0.054624121,2.18,0.1998939554612937,0.010074231,0.054347826,0.4886002120890774,0.9112863479546576,0.088713652,0.6901027582477015,0.3098972417522985,0,0.558935361,0.2832699619771863,0,0.1212847555129434,0.004186161,0.059758772,
44001030700,4,2847,0.4134176325957148,0.2198805760449596,0.192483316,0.2500878117316473,0.1844046364594309,40.8,0.087811732,0.7569371268001405,0.023533544,0.002458728,0.037934668,0.010186161,64858,49474,0.1099402880224798,0.4121405750798722,0.1847619047619047,0.423,0,0.7266694317710494,0.017694064,0.2733305682289506,0.08030853,0.190108893,0.1878402903811252,0.4519056261343013,0.1647005444646098,1551,0.5635074145712443,0.1669890393294648,0.2411347517730496,1.83,0.1571961841559518,0.029033596,0.023226877,0.368726669,0.7121212121212122,0.2878787878787879,0.2869116698903933,0.7130883301096067,0,0.4436229205175601,0.2162661737523105,0,0.099754127,0.054092027,0.046868519,
44001030800,3,6042,0.4938761999337968,0.4880834160873882,0.098477325,0.1875206885137371,0.1439920556107249,22,0.025322741,0.8901026150281364,0.026481298,0.000662032,0.010923535,0,116399,41476,0.074260355,0.3625498007968127,0.031034483,0.3938,0.1244886031560491,0.5375402216660707,0.043897572,0.4624597783339292,0.041532402,0.1460794844253491,0.2241317579663444,0.5331185105621196,0.2184031507339778,1711,0.4482758620689655,0.4254821741671537,0.1046171829339567,1.96,0.3349788434414668,0.008991537,0.023272214,0.4992947813822285,0.8769861609431061,0.1230138390568939,0.6165984804208066,0.3834015195791934,0,0.2492260061919504,0.1408668730650154,0.002492522,0.052466071,0.009102946,0.049936903,
44001030901,3,6393,0.4891287345534178,0.1514156108243391,0.1662756139527608,0.2937587986860628,0.2072579383700923,45.1,0.012357266,0.9735648365399656,0.001564211,0,0.008290318,0,111469,50318,0.039423077,0.3983739837398374,0.042264151,0.3829,0.031886625,0.644926182,0.009307737,0.355073818,0.126818275,0.2124564638393771,0.1968858840401557,0.4111862323294407,0.1382913337430854,2258,0.2524357838795394,0.6691762621789193,0.059787422,2.75,0.125,0.011904762,0.031994048,0.4566592261904761,0.9847361535106848,0.015263846,0.9313551815766165,0.068644818,0.004871568,0.1666666666666666,0.1666666666666666,0,0.1637728765837635,0.022482736,0.065696227,
44001030902,1,7035,0.4979388770433546,0.1373134328358209,0.1331911869225302,0.294953802,0.3108742004264392,55.1,0.023596304,0.9225302061122956,0.002842928,0,0.007818053,0.00952381,99423,57713,0.093154444,0.2078559738134206,0.1262002743484225,0.4502,0.053040541,0.5434954840754239,0.034585569,0.4565045159245761,0.061153706,0.1723256663015699,0.18985031,0.4675063891931362,0.2322015334063527,2960,0.4192567567567568,0.5256756756756756,0.031418919,2.2,0.1796911558259241,0.034316019,0.040867259,0.5025737014506317,0.9113300492610836,0.088669951,0.7706081081081081,0.2293918918918918,0,0.5038880248833593,0.2410575427682737,0,0.080739161,0.015819042,0.083593365,
